In-Degree,Out-Degree
0,2
70,31
1,1
0,4
3,7
2,2
1,6
0,7
1,1
2,3
1,1
1,5
3,3
2,10
1,1
4,6
1,36
2,2
1,17
2,6
2,7
3,6
3,2
0,10
10,29
0,16
6,2
15,10
7,2
2,3
1,1
1,1
4,3
2,2
6,6
2,3
1,11
3,2
2,3
2,3
5,4
1,1
6,12
1,3
24,10
2,2
8,2
2,4
7,4
4,1
2,2
4,8
2,36
5,5
2,1
3,5
1,10
2,4
3,6
4,17
5,2
2,3
0,1
3,3
5,8
2,10
2,5
7,46
2,2
1,19
1,1
3,3
14,35
4,2
15,10
4,1
5,8
1,6
1,5
7,7
1,1
0,7
4,6
2,5
1,3
1,3
4,7
1,16
3,4
21,10
141,25
6,2
3,4
2,1
3,5
0,2
1,5
1,1
2,5
2,2
10,24
15,36
1,2
6,14
3,3
0,26
2,3
2,6
1,1
1,2
1,1
3,5
1,5
4,15
1,19
2,4
1,2
2,48
1,2
5,6
2,9
6,2
10,4
4,6
1,1
2,5
3,3
1,5
4,1
10,10
0,7
1,1
1,1
2,3
8,9
2,2
3,5
8,9
0,2
116,2
2,2
3,13
2,2
0,86
6,18
3,9
3,6
2,2
13,12
2,4
4,7
1,8
6,2
2,2
0,6
2,5
2,3
1,9
1,18
114,19
2,5
2,2
2,2
0,80
28,31
1,36
23,20
6,35
1,11
2,15
5,3
5,23
4,4
23,20
18,18
2,1
5,7
3,1
1,5
15,10
1,11
4,4
2,2
4,5
2,1
2,5
1,10
2,1
2,2
1,5
2,3
3,2
2,2
2,10
0,8
3,5
289,1
1,1
2,2
1,1
7,14
1,9
1,5
4,6
11,32
2,4
1,1
2,3
1,1
3,5
2,2
2,3
3,3
16,1
5,8
2,6
27,27
1,1
2,5
1,19
7,29
3,7
1,5
16,22
6,2
1,1
1,3
2,3
0,1
1,5
1,10
1,36
14,16
7,12
7,14
2,5
2,9
1,16
4,4
5,6
2,5
9,10
6,5
1,8
9,19
2,5
1,2
14,34
3,6
3,6
2,4
4,7
1,5
1,9
1,6
11,95
11,51
2,5
2,10
1,3
0,1
2,5
5,13
1,18
17,20
0,2
3,2
2,6
2,2
3,6
1,5
2,2
1,1
0,1
2,2
26,17
3,6
1,6
5,33
1,0
2,2
6,2
11,17
5,16
2,1
33,2
3,7
0,8
4,8
1,4
2,5
0,1
2,2
2,14
6,35
8,3
2,3
1,4
1,1
3,16
2,3
2,10
9,15
13,14
9,9
2,3
1,13
13,4
3,4
2,3
6,22
6,2
3,2
2,3
2,3
1,2
17,12
60,8
2,3
2,3
2,44
3,5
1,7
6,7
23,20
1,10
1,3
0,1
2,4
9,2
2,2
26,46
12,12
1,5
2,2
2,5
2,3
3,10
59,60
3,3
2,2
1,1
3,2
1,4
2,5
3,7
2,5
2,4
0,53
5,2
2,2
2,6
3,16
1,1
2,2
4,4
1,1
3,4
2,5
1,5
1,36
0,16
3,6
0,1
1,8
2,2
82,31
1,36
4,6
1,1
2,3
4,4
2,4
261,6
2,11
2,2
2,4
2,5
4,5
6,5
1,17
2,5
0,14
2,6
11,2
2,5
4,6
8,29
4,5
4,5
24,2
1,7
2,5
4,4
2,4
2,1
3,5
1,1
0,5
3,4
3,2
15,10
1,10
4,3
4,6
2,2
0,8
13,6
1,1
2,6
6,4
2,5
3,15
3,6
5,6
1,1
4,10
7,26
3,5
2,14
4,3
15,10
5,4
8,24
3,2
1,2
4,4
23,13
3,4
0,16
4,6
1,3
8,4
6,8
10,3
2,1
2,5
3,5
2,21
19,4
2,57
2,10
1,6
2,5
2,16
3,3
2,10
2,3
3,7
7,12
2,3
4,6
0,1
7,2
2,4
11,20
4,3
2,5
4,6
5,22
0,1
2,6
3,4
1,1
3,5
4,6
3,2
16,24
3,4
2,1
1,5
0,18
6,7
3,4
2,5
2,2
3,4
22,4
2,4
2,6
3,2
1,5
46,10
111,26
6,6
15,10
2,5
2,3
10,23
5,6
1,5
3,6
6,16
24,24
3,5
2,10
2,2
7,12
5,16
2,3
74,1
2,3
3,2
3,5
6,2
5,8
0,1
3,3
3,4
2,3
6,2
3,3
3,4
4,3
3,5
5,7
1,18
3,15
0,1
0,2
0,1
2,2
1,2
1,1
3,4
2,6
2,1
1,4
79,45
0,16
1,8
0,1
1,2
2,6
2,6
6,6
1,10
1,10
5,6
2,5
3,2
2,2
0,1
2,3
17,5
3,3
5,5
3,5
15,34
29,29
35,52
10,6
4,1
1,10
4,10
2,2
6,17
2,4
1,3
4,8
1,15
3,4
2,32
2,6
2,2
6,2
1,16
1,5
3,7
18,18
17,17
1,5
2,10
15,34
6,8
4,4
3,2
1,43
3,4
2,5
2,2
3,5
3,4
23,20
2,2
3,3
4,5
2,7
1,1
12,12
4,3
1,5
3,4
3,18
5,5
2,2
2,5
5,45
2,2
2,2
1,5
54,6
11,20
0,2
2,2
2,4
1,2
2,3
1,16
1,7
2,4
11,20
1,18
4,6
4,2
3,10
5,26
3,3
4,6
11,28
3,5
5,2
11,9
4,1
2,31
0,72
2,3
2,5
1,5
2,3
5,6
3,3
1,1
2,2
1,6
1,30
2,3
15,34
1,2
2,4
2,7
2,4
4,6
4,4
2,3
2,14
15,10
8,6
5,8
3,3
3,6
13,20
3,3
2,2
2,6
1,14
2,3
1,8
2,1
1,10
4,4
